MO1,MO2,correlation,abs_correlation
MO4,MO6,-0.9640512073219162,0.9640512073219162
MO3,MO4,0.9263172909008761,0.9263172909008761
MO3,MO6,-0.9076591188348081,0.9076591188348081
MO3,MO12,-0.818544528922807,0.818544528922807
MO4,MO12,-0.7828509368546382,0.7828509368546382
MO4,MO14,-0.7267262100512635,0.7267262100512635
MO6,MO12,0.6996770571847486,0.6996770571847486
MO3,MO14,-0.5904970608452208,0.5904970608452208
MO6,MO14,0.5388457732411384,0.5388457732411384
MO12,MO14,0.5144885785672607,0.5144885785672607
